recipe_tag	coefficient
bias	0.11023491663297863
alfredo	-0.011820831497635383
almond	0.1305091250802023
american	0.01016847091678716
appetizer	-0.03542489819251443
appetizers	-0.02677399280693031
apple	0.03411376305369796
asiancuisine	-0.01106216132482815
asparagus	0.001762909396201641
avocado	-0.01067720331858744
bacon	-0.04402081997834508
baked	-0.018679035632951986
bakeddishes	-0.003240163033679412
bakery	-0.040033191349926986
baking	0.19557480714802694
beans	0.006012739939080245
beef	-0.007231221222982689
bellpeppers	-0.0012476882107823998
berries	0.04949370625613849
blackbeans	-0.0012476882107823998
blackvinegar	-0.0036910624635465555
blueberry	0.02772252167978151
boiledeggs	-0.005241516253056067
bokchoy	-0.005241516253056067
braided	0.01059316200483311
bread	0.03892103467003605
breaded	-0.0026355023076517306
breakfast	-0.007523279701034537
breakfastpastry	-0.001047036062199145
brioche	-0.039633558676969396
broiling	-0.0021293831614268874
brownies	0.06481815605248761
brownsugar	0.03889660430422851
brunch	0.013483050838819559
burger	-0.015607379501670487
burritos	-0.004667036146237913
buttery	0.04049398112924697
cake	0.054195173950862506
carrots	-0.005241516253056067
casserole	-0.01293372541041443
celebration	-0.005968512806518936
cheese	-0.019977452239438444
cheesy	-0.013093734080909797
cherry	0.06458606139662333
chicken	-0.035655782671391675
chickpeas	-0.015607379501670487
chilioil	-0.0022478514983516338
chilipowder	-0.0012476882107823998
chinese	-0.012991960970789666
chinesecookingwine	0.0014432109651949215
chinesecuisine	-0.019080395528741835
chocolate	0.09502616138867882
chocolatechip	0.04005902434456163
chocolatecroissant	-0.001047036062199145
christmas	0.01500837238594803
cilantro	0.004753653736650415
cinnamon	0.12387544180282742
citrus	-0.03416248047369267
classic	-0.024442399595179094
cloves	-0.0024795718813405056
cobbler	0.046035845775691496
cocoapowder	0.046753098068866815
coffee	0.009817750243696521
cold	-0.012991960970789666
coldnoodles	-0.01223864189028338
comfortfood	-0.01641623228260941
condiment	-0.004248607698842
cookies	0.092657344098071
corn	-0.005968512806518936
cranberry	0.04878404292767923
creamcheese	-0.002346579214823954
creamy	-0.01639082487180825
crisp	0.08155155675569217
crispy	-0.019306071994313983
croissant	0.009817750243696521
croissants	-0.044878740761618095
crumble	0.09465398538235034
crust	-0.0024795718813405056
cucumber	-0.01223864189028338
cumin	-0.0012476882107823998
cupcakes	0.006361812439258917
custard	0.09766086396582804
custardy	-0.0198956194367331
customizable	-0.016883155149638902
danish	-0.002346579214823954
dashibroth	-0.017729787750718068
dates	-0.0024085602280737397
decadent	-0.008100043306552267
dessert	0.3909057583515982
dinner	-0.014862713024373841
dip	-9.727686974333192e-05
donuts	-0.048414162228557996
easterneuropean	0.01059316200483311
easy	-0.01813793954220101
easydinner	-0.007234585295224764
egg	-0.009678341178540112
eggs	-0.005577358658335814
eggwhites	0.028974206118110003
fajitaseasoning	-0.004559309071579
fall	0.03147240117254116
familyfriendly	-0.020168310705639195
fastfood	-0.0026355023076517306
fetacheese	-0.020008083650502245
filling	-0.011850248737279643
fingerfood	-0.003490820389649054
flaky	0.03955212307981803
french	0.08649001358437006
frenchcuisine	0.003431828278590482
frenchpastry	-0.03126247716842961
fresh	-0.006533202870595056
fried	-0.009375702605811349
friedfood	-0.02407981165859306
friedrice	0.00503290641235926
fries	0.004679812006014709
frosting	0.06055698639012142
fruit	0.15466125249785498
fudgy	-0.018693205311385377
gamedayfood	-0.008492288654597707
ganache	0.007442075881995692
garlic	-0.009937280021830152
ginger	0.0014432109651949215
glutenfree	-0.017462476158479467
goldenbrown	-0.008903816032933973
greenbeans	-0.014873984511133777
greenonion	-0.011380490987025073
greenonions	-0.00990855239929398
grill	-0.015607379501670487
grilled	-0.003820131584851828
grilling	-0.0021293831614268874
groundbeef	-0.00792938441452547
gruyere	-0.0038241900909057754
gruyerecheese	0.010319699843531913
guacamole	0.00020574265671884496
hamandcheese	-0.002346579214823954
hamburger	-0.0032493799085105634
handheld	-0.016883155149638902
handtorndough	-0.007246173108254307
hawaii	-0.0032493799085105634
hawaiian	-0.011881357847742722
healthy	-0.01081203484048663
herbs	0.025291589270439827
holiday	0.009039859579429092
homemade	-0.005615054365224909
indulgent	0.006361812439258917
italian	-0.026380615675426655
italiancuisine	-0.011820831497635383
jalapenos	0.004679812006014709
japanesecuisine	-0.02289953334749698
juicy	-0.013179749297013196
ketchup	-0.0032493799085105634
keto	-0.007330236393186778
kidfriendly	-0.003490820389649054
koreancuisine	-0.007246173108254307
laminateddough	-0.040033191349926986
lasagna	-0.0033984845502485015
lattice	-0.0024795718813405056
lettuce	-0.025818476249306305
lime	0.0033104427714554935
loadednachos	-0.013172100660612416
lowcarb	-0.007330236393186778
lunch	-0.014862713024373841
macandcheese	0.0035047945649248524
maple	-0.048414162228557996
maplesyrup	-0.005939926390965159
masa	-0.005968512806518936
mayonnaise	-0.0032493799085105634
meal	-0.0026355023076517306
mealprep	-0.01664912728352068
meat	-0.001733459113824539
meatsauce	-0.015394729972314362
mexican	-0.02959726290458125
mexicancuisine	-0.02452614188605447
mexicanfood	-0.013172100660612416
middleeastern	-0.0015410982975606604
miso	-0.005241516253056067
muffins	-0.01664912728352068
mushroom	-0.01148873047692169
mushrooms	-0.005241516253056067
nachos	-0.01646395265972826
noodles	-0.016611252778059065
noodlesoup	-0.005241516253056067
nori	-0.011881357847742722
numbing	-0.013946122100000359
nutmeg	0.036417032422888004
oat	0.03850041086159681
oats	0.005120933762497308
onion	0.0030987735671853833
onions	-0.005806997282361399
onthego	-0.011881357847742722
oven	-0.001047036062199145
oysters	-0.010195974708962179
pacificislands	-0.0032493799085105634
pancakes	-0.005939926390965159
parmesan	-0.0038241900909057754
partyfood	-0.018988380529884982
pasta	-0.019301922635822824
pastasauce	-0.015394729972314362
pastry	0.11110766907789871
pastrycrust	0.030215319280265013
peach	-0.013996799069369584
peanutbutter	0.07862204437374222
peanutdressing	-0.010204010421569843
peanuts	-0.0036910624635465555
peppers	-0.004559309071579
pickledvegetables	-0.028644797787527893
pie	0.007688899035446655
piecrust	-0.020008083650502245
pork	-0.0036910624635465555
porkbelly	-0.005241516253056067
potatoes	-0.004667036146237913
protein	-0.01664912728352068
puffpastry	-0.001047036062199145
quiche	-0.0009687286317262094
quick	0.031131694305552952
ramen	-0.005241516253056067
refreshing	0.004724740319865606
relish	-0.03416248047369267
rhubarb	0.004724740319865606
rice	-0.011881357847742722
ricevinegar	-0.011380490987025073
rich	-0.008100043306552267
ricotta	1.5457987575470784e-05
salad	-0.008584277009942288
salsa	-0.018210653797321258
salty	0.0035047945649248524
sandwich	-0.009678341178540112
sauce	0.0491708528596407
savory	0.005983101559101063
scallions	-0.0022478514983516338
scallops	-0.0005707516763412648
seafood	-0.02014228265498464
sesame	-0.012991960970789666
sesameoil	-0.011380490987025073
sesameseeds	-0.011380490987025073
shrimp	-0.0021293831614268874
sichuancuisine	-0.017637184563546914
sichuanpeppercorns	-0.0022478514983516338
sidedish	-0.006092677283632865
sidedishes	-0.014873984511133777
skewers	-0.0021293831614268874
smoky	-0.0046420483197290845
snack	-0.023816031790268984
snacks	-0.01019417250511907
sobanoodles	-0.01106216132482815
soft	-0.008903816032933973
souffle	-0.022214170889104372
soup	-0.007174402451977152
sourcream	0.006293618870090998
southern	-0.008381744704144675
southerncuisine	-0.010195974708962179
soysauce	-0.013836952326073515
spam	-0.015130737756253286
spices	0.025291589270439827
spicy	-0.021561327087316184
spicyfood	-0.013883836949630881
spinach	-0.01952898977487066
spring	-0.006894430551357688
steamed	-0.005968512806518936
stirfry	-0.01538933306519528
strawberry	0.004724740319865606
streetfood	-0.0017527675018307706
stuffedpeppers	-0.013883836949630881
summer	0.05601136310389699
sushi	-0.011881357847742722
sweet	0.14502004978575636
sweetandsalty	0.052598319753509364
sweetandsavory	-0.05435408861952316
sweettreat	0.008770714181497377
taco	-0.006750047634855147
tacos	-0.00021166920427011026
tangy	0.019733112705813634
tart	0.0491708528596407
tea	0.009817750243696521
tempura	-0.017729787750718068
tender	-0.011539318340585704
texmex	-0.004559309071579
thanksgiving	0.01500837238594803
toast	-0.009678341178540112
tomato	-0.016616136746253972
tomatoes	-0.005080945569382811
tomatosauce	-0.021253878757999396
tortilla	-0.0012476882107823998
tortillabowl	-0.006750047634855147
tortillachips	0.008369781046482701
tortillas	-0.009226345217816912
traditional	-0.005968512806518936
twisted	0.01059316200483311
udonnoodles	-0.017729787750718068
vanilla	0.028974206118110003
vanillaicecream	0.005120933762497308
vegan	-0.004503202581482232
vegetables	-0.009107697247252735
vegetarian	-0.04165581997176091
warm	-0.001047036062199145
whippedcream	0.005120933762497308
winter	0.03147240117254116
yeastdough	0.01059316200483311
